```csv
Epic|ID|User Story|Tasks/Subtasks|Acceptance Criteria|Priority|Story Points|Sprint Number|Assignee
Project Setup|1|As a project manager, I want to define the project scope so that all stakeholders have a clear understanding of the deliverables.|Review FRD and identify key deliverables|Scope Document is created and includes all key deliverables.|High|3|1|Team Member 1
Project Setup|2|As a project manager, I want to define the project scope so that all stakeholders have a clear understanding of the deliverables.|Identify in-scope and out-of-scope functionalities|Scope Document clearly defines what is in-scope and out-of-scope.|High|2|1|Team Member 2
Project Setup|3|As a project manager, I want to define the project scope so that all stakeholders have a clear understanding of the deliverables.|Obtain sign-off on scope from stakeholders|Stakeholders have signed off on the scope document.|High|1|1|Team Member 3
Project Setup|4|As a project manager, I want to create a detailed project schedule so that we can track progress and meet deadlines.|Create a detailed project schedule|Project Schedule (Gantt Chart) is created with all tasks and timelines.|High|3|1|Team Member 1
Project Setup|5|As a project manager, I want to create a detailed project schedule so that we can track progress and meet deadlines.|Assign tasks and responsibilities to team members|Responsibility Assignment Matrix is created with clear task assignments.|Medium|2|1|Team Member 2
Project Setup|6|As a project manager, I want to create a detailed project schedule so that we can track progress and meet deadlines.|Establish communication and reporting protocols|Communication Plan is created outlining communication channels and frequency.|Medium|1|1|Team Member 3
Project Setup|7|As a developer, I want to set up the development environment so that I can start coding.|Provision necessary hardware and software|Development Environment Setup is complete and accessible.|High|3|2|Team Member 1
Project Setup|8|As a developer, I want to set up the development environment so that I can start coding.|Configure version control system (Git)|Git Repository is set up and accessible for version control.|High|2|2|Team Member 2
Project Setup|9|As a developer, I want to set up the development environment so that I can start coding.|Set up testing and staging environments|Testing and Staging Environments are set up and configured.|Medium|2|2|Team Member 3
Authentication & Authorization|10|As a user, I want to be able to log in using Okta single sign-on so that I don't have to remember multiple passwords.|Integrate Okta for single sign-on|Okta Integration Document is created.|High|3|2|Team Member 1
Authentication & Authorization|11|As a user, I want to be able to log in using Okta single sign-on so that I don't have to remember multiple passwords.|Test Okta authentication flow|Working Okta Authentication is verified.|High|2|2|Team Member 2
Authentication & Authorization|12|As an administrator, I want to implement role-based access control so that users only have access to the features they need.|Define user roles and permissions (Admin, Developer, Read-Only, Support Engineer)|RBAC Matrix is created defining roles and permissions.|High|3|3|Team Member 3
Authentication & Authorization|13|As an administrator, I want to implement role-based access control so that users only have access to the features they need.|Implement RBAC logic in the application|RBAC Implementation is implemented in the application.|High|3|3|Team Member 1
Authentication & Authorization|14|As an administrator, I want to implement role-based access control so that users only have access to the features they need.|Test user roles and permissions|Verified RBAC Implementation confirms users have correct access.|High|2|3|Team Member 2
